字段名称,数据类型,显示顺序,栏位名称,表或者视图名称,ID
OrderDate,datetime,-6,下单时间,V_APS_OrderBOMNoIssueQty,34651
LineName,nvarchar,-5,线体,V_APS_DayPlanForActive,12262
ProcessGroupName,nvarchar,-5,MES工艺,V_APS_MOPlanStep4V11,18757
YearMonth,varchar,-5,月份,V_APS_Report54,41239
LineName,nvarchar,-5,线体,V_APS_ProcessPlanHistoryForWeek,45763
LineName,nvarchar,-5,线体,V_APS_ProcessPlanHistoryForWeek2,45840
LineName,nvarchar,-5,线体,V_APS_OrderForPrepare2,47798
DefaultLineID,int,-4,生产线,V_APS_MOPlanStep4V11,46479
SourceOrderNo,varchar,-4,销售单,V_APS_OrderForPrepare2,47808
OrderNo,varchar,-3,生产单,V_APS_OrderForPrepare2,25944
LineID,bigint,-2,生产线,V_APS_MOPlanStep1V2,35941
PCDeliveryDate,datetime,-2,要求开工,V_APS_MOPlanStep4V11,46493
StartDate,datetime,-2,计划开始,V_APS_OrderForPrepare2,47773
ErrorType,nvarchar,-2,错误类型,V_APS_OrderWarning,43673
LevelPath,varchar,-1,层级,V_APS_MaterialBOM,39957
ViewSort,int,-1,顺序,V_APS_MOPlanStep1V2,35940
MinStartDate,datetime,-1,最早需求,V_APS_PrepareView2,29220
SourceOrderNo,varchar,-1,销售订单,V_APS_OrderForToDo,25833
OrganizeID,int,-1,生产线,APS_Machine,1384
OrderBOMCount,int,-1,工单组件,V_APS_OrderWarning,43676
T,int,-1,T+,V_APS_Report32,43018
EndDate,datetime,-1,结束日期,V_APS_OrderForPrepare2,47774
RowNum,bigint,-1,顺序,V_APS_Report44,47402
SystemViewSort,int,0,顺序,V_APS_ProcessPlanHistoryForWeek2,47768
YearMonth,varchar,0,月份,V_APS_PrepareView3,46341
PlanStartDate,datetime,0,要求齐料日期,V_APS_MaterialForecast,46018
YearMonth,varchar,0,月份,V_APS_Report55,46319
RowNum,bigint,0,No,V_APS_Report17,45609
LineID,bigint,0,生产线,V_APS_MOPlanStep2V1,44809
